species,period,lowest_abundance,highest_abundance,mean_abundance
snow goose,1999-2009,[2500-10000],[35000-60000],
snow goose,"2010-2019, 2022-2023",[6000-10000],[45000-60000],
snowy owl,1996-2011,0,[50-100],
snowy owl,"2012-2019, 2022-2023",0,[144-170],
glaucous gull,2004-2016,[50-80],[70-100],
glaucous gull,"2017-2019, 2022",[60-80],[80-100],
peregrine falcon,"2013-2019, 2022",[8-12],[12-20],
rough legged hawk,2007-2012,[0-8],[50-90],
rough legged hawk,"2013-2019, 2022",[0-4],[66-86],
american golden plover,"2014-2019, 2022-2023",[100-500],[1000-2500],
cackling goose,"1996-2016, 2020-2021",[2-10],[58-220],
cackling goose,"2017-2019, 2022-2023",[80-110],[214-244],
arctic fox,NA,,,[30-60]
nearctic collared lemming,"1995-2019, 2021-2022",[100-2000],[20000-50000],
nearctic brown lemming,"1995-2019, 2021-2022",[100-2000],[200000-450000],
american ermine,1993-2019,[0-10],[50-156],
long tailed jaeger,"2004-2019, 2022",[0-10],[300-900],
red throated loon,"2017-2019, 2022",[42-62],[76-96],
pacific loon,"2017-2019, 2022",[0-6],[6-10],
tundra swan,"2017-2019, 2022",[0-4],[2-6],
common ringed plover,2015-2017,[44-60],[60-85],
black bellied plover,NA,,,[6-30]
lapland longspur,NA,,,[7000-10000]
bairds sandpiper,NA,,,[1500-3500]
sandhill crane,NA,,,[15-45]
king eider,NA,,,[60-250]
long tailed duck,NA,,,[80-300]
rock ptarmigan,NA,,,[10-60]
horned lark,NA,,,[200-600]
ruddy turnstone,NA,,,[10-30]
red phalarope,NA,,,[20-80]
red knot,NA,,,[10-30]
white rumped sandpiper,NA,,,[1000-2000]
buff breasted sandpiper,NA,,,[2-10]
pectoral sandpiper,NA,,,[20-100]
parasitic jaeger,NA,,,[15-50]
common raven,NA,,,[30-75]
american pipit,NA,,,[50-300]
snow bunting,NA,,,[100-500]
arctic hare,NA,,,[15-50]
